,County,Police_Funding,Count,College_Education,Minority,IncomePerCapita,Population,Population_per_Square_Mile,Police_Funding_Per_Person,Below_Poverty,IncomeMedian,ShootingRatio,CommunityDev,CommunityDev_Per_Person
0,Alameda,762.547706,36.0,41.8,67.2,35763,1610921,2043.6,473.3613293265157,12.5,72112,2.2347464587028165e-05,436679720,271.0745716270382
2,Butte,38.999303,10.0,24.4,26.5,23787,224241,134.4,173.91691528311057,20.4,43752,4.459487783233218e-05,16645640,74.23102822409818
3,Calaveras,1.43005,1.0,21.2,17.900000000000006,29329,44624,44.7,32.04665650770885,10.9,55295,2.2409465758336323e-05,1049686,23.52290247400502
5,Contra Costa,365.877463,18.0,39.0,54.4,38219,1111339,1465.2,329.2221932281689,10.5,78756,1.619667806132962e-05,150764393,135.6601298073765
6,Del Norte,1.89274,1.0,14.0,36.7,19072,27212,28.4,69.55534323092753,21.8,37909,3.674849331177422e-05,4018972,147.69116566220785
7,El Dorado,16.353836,2.0,32.0,21.299999999999997,34884,183087,106.0,89.3227591254431,9.0,69297,1.09237684816508e-05,18296112,99.93124580117649
8,Fresno,237.846008,27.0,19.6,69.1,20208,965974,156.2,246.2240267336388,26.0,45563,2.795106286504606e-05,43070548,44.58768869555495
10,Humboldt,25.107081,5.0,27.5,24.5,23540,134809,37.7,186.24187554243412,20.4,41426,3.708951182784532e-05,8572392,63.589166895385326
11,Imperial,25.397251,4.0,13.3,87.7,16763,179091,41.8,141.81198943553835,23.3,41807,2.233501404314008e-05,12544105,70.04319033340592
12,Inyo,3.585277,1.0,21.4,35.7,27441,18410,1.8,194.74617055947854,12.8,44796,5.431830526887561e-05,470681,25.56659424225964
13,Kern,146.330231,42.0,15.0,63.8,20295,874589,103.3,167.31313908590207,22.9,48552,4.802255688100353e-05,144575230,165.30648110140876
14,Kings,26.627903,7.0,12.9,66.3,18429,150269,110.1,177.20157184781957,21.0,48133,4.6583127591186475e-05,6811888,45.331292548696005
15,Lake,6.411425,4.0,16.2,27.900000000000006,21537,64184,51.5,99.8913280568366,25.0,36548,6.23208276205908e-05,1241303,19.339757571980556
17,Los Angeles,4707.197456,255.0,29.7,73.2,27749,10116705,2419.6,465.2895835155814,17.8,55909,2.5205835299141372e-05,1612538102,159.39360710824326
18,Madera,21.926985,5.0,13.6,64.2,17847,154548,70.6,141.87815435981054,22.8,45625,3.235240831327484e-05,6929887,44.83970675777105
19,Marin,72.959764,2.0,54.6,27.799999999999997,56791,260750,485.1,279.80734036433364,7.7,90839,7.670182166826462e-06,25309323,97.06355896452541
20,Mendocino,14.445691,1.0,22.0,33.8,23306,87869,25.1,164.40031182783463,20.0,43469,1.1380577905746054e-05,3546279,40.35870443501121
21,Merced,44.989813,9.0,12.6,70.5,18177,266353,132.2,168.91047970174918,25.4,42591,3.3789745187777124e-05,9965217,37.41357146343386
24,Monterey,121.31323,8.0,23.0,68.8,24775,431344,126.5,281.2447373789829,17.0,59168,1.8546681998590453e-05,39984206,92.69679420601655
25,Napa,44.551223,7.0,31.3,46.3,34795,141667,182.4,314.478481227103,10.1,70443,4.941164844318013e-05,26821093,189.3249168825485
26,Nevada,13.192281,3.0,32.3,14.400000000000006,32346,98893,103.1,133.39954294034968,12.0,57353,3.0335817499721922e-05,4696235,47.48804263193553
27,Orange,1078.047874,51.0,36.8,58.0,34057,3145515,3807.7,342.725396000337,12.4,75422,1.6213561213346624e-05,426113993,135.46716292880498
28,Placer,68.035841,7.0,35.1,25.799999999999997,34886,371694,247.6,183.0426130096262,8.7,72725,1.8832695712064224e-05,55655585,149.73495671170372
29,Plumas,0.132532,1.0,22.6,16.0,29806,18606,7.8,7.123078576803182,15.2,45794,5.3746103407502955e-05,188649,10.139148661722025
30,Riverside,543.295437,66.0,20.5,62.6,23591,2329271,303.8,233.24698457156768,16.2,56529,2.8335045600104068e-05,262558306,112.72123595751633
31,Sacramento,293.800254,36.0,28.0,53.4,26739,1482026,1470.8,198.24230748988208,17.6,55064,2.4291071816553825e-05,92611800,62.489996801675545
33,San Bernardino,564.041991,80.0,18.7,69.4,21332,2112619,101.5,266.98708617124055,18.7,54090,3.786768934673029e-05,173343723,82.05157815962083
34,San Diego,916.00042,49.0,34.6,53.3,30668,3263431,735.8,280.68631449538844,14.4,62962,1.5014872384309642e-05,390660966,119.70866428614548
35,San Francisco,579.671898,16.0,52.4,58.8,48486,852469,17179.1,679.991762750317,13.5,75604,1.8769010955237083e-05,351901686,412.802912481275
36,San Joaquin,214.560529,19.0,18.1,66.0,22589,715597,492.6,299.83430478327887,18.2,53380,2.6551257202028515e-05,37732403,52.72856510018907
37,San Luis Obispo,59.034675,5.0,31.5,30.5,29954,279083,81.7,211.53088866036268,14.3,58697,1.791581715833641e-05,21885152,78.41807634288007
38,San Mateo,317.781018,5.0,44.4,59.6,45732,758581,1602.2,418.9150769660722,7.6,88202,6.5912539333307845e-06,75980322,100.16111924764792
39,Santa Barbara,102.517426,11.0,31.3,54.1,30352,440668,155.0,232.64095872629736,16.0,62779,2.496210298909837e-05,30360299,68.89608276525638
40,Santa Clara,699.600728,32.0,46.5,66.7,41513,1894605,1381.0,369.2594118562972,10.2,91702,1.6890064155853067e-05,289846593,152.98523597266976
41,Santa Cruz,57.994835,4.0,37.0,41.8,32295,271804,589.4,213.3700570999691,14.6,66519,1.4716486880251947e-05,19566540,71.98768230048123
42,Shasta,38.055174,18.0,18.8,19.099999999999994,23670,179804,46.9,211.64809459188893,17.5,44651,0.00010010900758603813,15315156,85.17694823251985
44,Siskiyou,7.411592,4.0,23.9,22.5,22293,43628,7.2,169.88154396259284,21.0,37709,9.168423947923352e-05,9558007,219.0796506830476
45,Solano,158.398844,10.0,24.3,60.4,28929,431131,503.0,367.40304918922556,13.0,67177,2.3194806218991444e-05,72901073,169.09262613915493
46,Sonoma,130.33467,3.0,32.2,35.400000000000006,32835,500292,307.1,260.5171979563935,11.9,63356,5.996498045141637e-06,29217970,58.401833329335666
47,Stanislaus,117.104642,17.0,16.4,55.7,21663,531997,344.2,220.1227488124933,20.3,49297,3.19550674157937e-05,24618430,46.27550531299988
48,Sutter,16.49384,2.0,18.7,52.2,23602,95847,157.3,172.08509395181903,16.7,50408,2.0866589460285663e-05,11885515,124.00508101453357
49,Tehama,8.469239,7.0,13.5,30.599999999999994,20439,63067,21.5,134.28954920957077,19.7,41924,0.00011099307086114766,583555,9.252937352339575
50,Tulare,79.533421,15.0,13.3,69.7,17894,458198,91.7,173.57871706118317,26.2,42708,3.2736939052549336e-05,23027436,50.256517924565365
51,Tuolumne,2.952514,1.0,19.5,18.900000000000006,25943,53831,24.9,54.84783860600769,14.5,48426,1.8576656573349928e-05,469056,8.713492225669224
52,Ventura,226.744224,8.0,31.4,53.4,32930,846178,446.7,267.96279742560074,11.1,76544,9.454275577951683e-06,69225787,81.80995842482315
53,Yolo,63.92493,3.0,37.9,51.7,27730,207590,197.9,307.93838816898693,19.1,55918,1.4451563177417024e-05,19446944,93.67957994123032
54,Yuba,4.011337,5.0,13.7,43.4,19244,73966,114.2,54.2321742422194,21.6,44902,6.759862639591163e-05,824213,11.143133331530704
